072.15144001	6014131XYZ
072.15144002	7016248XYZ
072.15144003	2002224XYZ
072.15144004	7027042XYZ
072.15144005	2049145XYZ
072.15144006	5023162XYZ
072.15144007	1038117XYZ
072.15144008	4001360XYZ
072.15144009	2015284XYZ
072.15144010	1033083XYZ
072.15144011	1031032XYZ
072.15144012	7020284XYZ
072.15144013	3016197XYZ
072.15144014	2002160XYZ
072.15144015	3022002XYZ
072.15144016	5018198XYZ
072.15144017	4025167XYZ
072.15144018	1048325XYZ
072.15145001	2048018XYZ
072.15145002	7028439XYZ
072.15145003	4015197XYZ
072.15145004	6081053XYZ
072.15145005	1044141XYZ
072.15145006	2047150XYZ
072.15145007	2031234XYZ
072.15145008	4033137XYZ
072.15145009	1045080XYZ
072.15145010	6017283XYZ
072.15145011	5014400XYZ
072.15145012	7008391XYZ
072.15145013	5014284XYZ
072.15145014	7030012XYZ
072.15145015	1040027XYZ
072.15145016	1016360XYZ
072.15145017	2030052XYZ
072.15145018	4024175XYZ
072.15145019	5022363XYZ
072.15145020	1002365XYZ
072.15145021	4004235XYZ
072.15145022	4001156XYZ
072.15145023	3022183XYZ
072.15145024	6010084XYZ
072.15145025	5002293XYZ
072.15145027	3018161XYZ
072.15145028	1063480XYZ
072.15145029	1017403XYZ
072.15145030	5004240XYZ
072.15145031	7020053XYZ
072.15145032	2034199XYZ
072.15145033	5014092XYZ
072.15145034	5018266XYZ
072.15145035	4027082XYZ
072.15145036	2028099XYZ
072.15145037	1040273XYZ
072.15145038	7022053XYZ
072.15145039	4021100XYZ
072.15145040	5016413XYZ
072.15145041	1043135XYZ
072.15145042	6008263XYZ
072.15145043	5025110XYZ
072.15145044	2010059XYZ
072.15145045	7030387XYZ
072.15145046	2012255XYZ
072.15145047	4002054XYZ
072.15145048	4036393XYZ
072.15145049	5022333XYZ
072.15145050	4015025XYZ
072.15145051	1054259XYZ
072.15145052	5011353XYZ
072.15145053	5026193XYZ
072.15145054	1020185XYZ
072.15145055	7016156XYZ
072.15145056	4026233XYZ
072.15145057	4019078XYZ
072.15145058	7016271XYZ
072.15145059	6001185XYZ
072.15145060	3023153XYZ
072.15145061	1060372XYZ
072.15145062	6029026XYZ
